Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #

"2.2u,""Capacitor SMD 0603"",""C1, C2, C10"",""CAP_0603"",""CAP_0603"",""3"",""C23630"""
"0.1uF,""0.1µF ±5% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"",""C3, C4, C7, C11, C12, C13, C14, C15"",""CAP_0805"",""CAP_0.1uF-50V-5%-0805"",""8"",""C49678"""
"22pF,""22pF ±5% 50V Ceramic Capacitor C0G, NP0 0805 (2012 Metric)"",""C5, C6, C9"",""CAP_0805"",""CAP_22pF-50V-5%-0805"",""3"",""C1804"""
"1uF,""1µF ±5% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"",""C8"",""CAP_0805"",""CAP_1uF-50V-5%-0805"",""1"",""C541528"""
"GREEN,""LED 0402 GREEN SMD"",""D1"",""LED_0402_GREEN"",""LED_0402_GREEN"",""1"",""C130723"""
"BLUE,""LED 0402 BLUE SMD"",""D2"",""LED_0402_BLUE"",""LED_0402_BLUE"",""1"",""C130724"""
"FB0402,""Ferrite Bead SMD 0402"",""FB1"",""FB_0402"",""FB_0402"",""1"",""C42102"""
"2X3 Berg Strip,""6 pin, 2 row, 2.54mm pitch bergstrip"",""J1"",""CON6_100_59D78_TH_ST_Duplicate"",""CON-BS-PLG_2X3-100-TH-ST"",""1"","""""
"4X1 Bergstrip,""4 pin, 1 row, 2.54mm pitch bergstrip"",""J2"",""CON4_100_40D72_TH_ST_MALE"",""CON-BS-PLG_4X1-100-TH-ST"",""1"","""""
"MICRO USB2.0,""USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle"",""J3"",""CON_10118192-0001LF_SMD"",""CON-USB_10118192-0002LF-SMD"",""1"",""C2972784"""
"20X1 Bergstrip,""20 pin, 1 row, 2.54mm pitch bergstrip"",""J4, J5"",""CON20_100_40D72_TH_ST"",""CON-BS-PLG_20X1-100-TH-ST"",""2"""
"10K,""10 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film"",""R1, R5, R6"",""RES_0805"",""RES_10K-0.125W-1%-0805"",""3"",""C191101"""
"10Mohm,""10 MOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200, High Voltage Thick Film"",""R2"",""RES_0805"",""RES_10MOHM-0.125W-1%-0805"",""1"",""C2074304"""
"1K,""1 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film"",""R3, R4"",""RES_0805"",""RES_1K-0.125W-1%-0805"",""2"",""C192073"""
"RT9193-33GB,""Linear Voltage Regulator IC 1 Output 300mA SOT-23-5"",""REG1"",""SOT23-5"",""REG_3.3V-5.5V-0.3A-SOT-23-5"",""1"",""C15651"""
"TACT SWITCH,""Tactile Switch SPST-NO Top Actuated Surface Mount"",""SW1"",""SW_342_SMD"",""SW_KSR223GLFG-SMD"",""1"",""C221786"""
"STM32F103C8T6,""ARM® Cortex®-M3 STM32F1 Microcontroller IC 32-Bit 72MHz 64KB (64K x 8) FLASH"",""U1"",""LQFP-48_19.6_393_58X11_SMD"",""IC-STM32F103C8T6 _1"",""1"""
"8MHz,""Crystals 8MHz 22pF -20C 70C"",""Y1"",""XTAL_314_240X47_SMD"",""XTAL_8MHZ-LFXTAL030234"",""1"",""C108703"""
"32.768KHz,""Crystals SMD AT XTL MHZ +/-50PPM 12.5 PF 250 T/R"",""Y2"",""XTAL_MC-405 32.7680K-G3"",""XTAL_32.768KHz-MC-405 32.7680K-G3"",""1"",""C5266000"""
